id,split,prompt_style,category,business_function,task_family,template_source,prompt,gold_tier,label_status,reasoning_depth,risk,context_load,tools_or_attachments_implied,governance
"biz-0026","test","business","documents_summaries","sales","document_synthesis","v1","Turn a 35-page technical report into a two-page executive brief for prospective customers, preserving uncertainty and the limits of the analysis.","T2","synthetic_prior","moderate_to_high","medium","medium_to_large","false","{""data_sensitivity"":""moderate"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":false}"
"biz-0027","test","business","it_security_admin","it_security","systems_security","new","Design a least-privilege access model for a product manager across the production database, and state how it would be tested.","T2","synthetic_prior","moderate_to_high","medium","medium_to_large","false","{""data_sensitivity"":""high"",""regulated_domain"":false,""cloud_processing_allowed"":""policy_check_required"",""data_residency_requirement"":""APAC"",""vendor_allowlist_required"":true}"
"biz-0028","test","business","it_security_admin","it_security","systems_security","new","Investigate a suspected supply-chain compromise spanning package registries and the admin console. Build competing hypotheses and an evidence-preserving containment plan.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":false}"
"biz-0029","test","business","market_competitive_research","research_insights","research_analysis","v1","Assess the competitive landscape for employee scheduling app in North America. Segment competitors by business model and buyer, distinguish sourced facts from inference, and identify evidence gaps.","T2","synthetic_prior","moderate_to_high","medium","medium_to_large","true","{""data_sensitivity"":""moderate"",""regulated_domain"":true,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""EU"",""vendor_allowlist_required"":true}"
"biz-0030","test","business","documents_summaries","legal_compliance","document_synthesis","new","Reconcile the outside-counsel memo, the market report, and the board minutes into an obligation matrix with conflicts, jurisdictional caveats, and questions for counsel.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""moderate"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""EU"",""vendor_allowlist_required"":false}"
"biz-0031","test","business","classification_extraction","operations","classification_extraction","new","Extract the tax id from each of these 10 short records into a single CSV.","T0","synthetic_prior","low","low","small","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":false}"
"biz-0032","test","business","software_engineering","engineering","software_delivery","new","Implement retries on this endpoint following the existing repository pattern, with tests.","T1","synthetic_prior","low_to_moderate","low_to_medium","small_to_medium","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""US"",""vendor_allowlist_required"":false}"
"biz-0033","test","business","classification_extraction","operations","classification_extraction","new","Classify each of these 12 leads into the three categories supplied, and return one label per row.","T0","synthetic_prior","low","low","small","true","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""EU"",""vendor_allowlist_required"":false}"
"biz-0034","test","business","data_spreadsheets","finance","data_analysis","new","Write a Python formula that flags a row when net revenue retention falls below the target in column D.","T0","synthetic_prior","low","low","small","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":false}"
"biz-0035","development","business","marketing_content","marketing","content_creation","v1","Write a landing-page draft for warehouse analytics product using the supplied positioning, proof points, and prohibited-claims list.","T1","synthetic_prior","low_to_moderate","low_to_medium","small_to_medium","true","{""data_sensitivity"":""high"",""regulated_domain"":false,""cloud_processing_allowed"":""policy_check_required"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":true}"
"biz-0036","test","business","presentations","sales","presentation_creation","v1","Build a workshop deck for prospective customers introducing a new operating model. Include exercises, facilitator notes, likely objections, and a concrete close.","T2","synthetic_prior","moderate_to_high","medium","medium_to_large","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""EU"",""vendor_allowlist_required"":false}"
"biz-0037","test","business","software_engineering","engineering","software_delivery","new","Implement search on this endpoint following the existing repository pattern, with tests.","T1","synthetic_prior","low_to_moderate","low_to_medium","small_to_medium","false","{""data_sensitivity"":""moderate"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""EU"",""vendor_allowlist_required"":false}"
"biz-0038","test","business","classification_extraction","operations","classification_extraction","v1","Construct a defensible taxonomy from 10,000 previously uncategorized business requests, balancing stable operational categories against emerging themes, then provide migration rules from the old labels.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""high"",""regulated_domain"":false,""cloud_processing_allowed"":""policy_check_required"",""data_residency_requirement"":""EU"",""vendor_allowlist_required"":true}"
"biz-0039","test","business","data_spreadsheets","finance","data_analysis","new","Build a driver-based budget model for Redwood Manufacturing with assumptions, scenario toggles, and integrity checks that catch broken links and circular references.","T2","synthetic_prior","moderate_to_high","medium","medium_to_large","false","{""data_sensitivity"":""high"",""regulated_domain"":true,""cloud_processing_allowed"":""policy_check_required"",""data_residency_requirement"":""APAC"",""vendor_allowlist_required"":true}"
"biz-0040","test","business","marketing_content","marketing","content_creation","new","Reposition a mature inventory planning platform whose category is commoditizing, using win/loss research and competitor claims, and identify the claims we cannot support.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""high"",""regulated_domain"":true,""cloud_processing_allowed"":""policy_check_required"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":true}"
"biz-0041","test","business","presentations","executive_strategy","presentation_creation","v1","Develop three alternative presentation narratives for a board decision on entering the US Midwest: growth-led, risk-led, and option-value-led.","T2","synthetic_prior","moderate_to_high","medium","medium_to_large","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""EU"",""vendor_allowlist_required"":false}"
"biz-0042","test","business","sales_customer_support","sales","customer_revenue_work","new","Create a discovery-call question set for a procurement manager evaluating telehealth portal, organized by workflow, impact, decision process, and timing.","T1","synthetic_prior","low_to_moderate","low_to_medium","small_to_medium","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""US"",""vendor_allowlist_required"":false}"
"biz-0043","test","business","product_design","product","product_definition","v1","Determine whether repeated customer requests represent one extensible platform capability or several incompatible vertical products. Use product, architecture, and go-to-market evidence.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""US"",""vendor_allowlist_required"":false}"
"biz-0044","test","business","documents_summaries","general_administration","document_synthesis","new","Summarize this RFP response into a decision memo covering scope, fees, assumptions, exclusions, and open questions.","T1","synthetic_prior","low_to_moderate","low_to_medium","small_to_medium","false","{""data_sensitivity"":""moderate"",""regulated_domain"":true,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":true}"
"biz-0045","test","business","marketing_content","marketing","content_creation","v1","Create a content strategy for a small healthcare operations company with a six-person marketing team, a limited paid budget, and a goal of qualified pipeline rather than traffic.","T2","synthetic_prior","moderate_to_high","medium","medium_to_large","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""EU"",""vendor_allowlist_required"":false}"
"biz-0046","test","business","people_finance_legal_ops","people_hr","corporate_operations","new","Model a restructuring that must cut cost while preserving payments processing, meeting the UK consultation duties, and avoiding hidden single points of failure.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""high"",""regulated_domain"":false,""cloud_processing_allowed"":""policy_check_required"",""data_residency_requirement"":""US"",""vendor_allowlist_required"":true}"
"biz-0047","test","business","classification_extraction","operations","classification_extraction","new","Extract the cost center from each of these 25 short records into a single CSV.","T0","synthetic_prior","low","low","small","false","{""data_sensitivity"":""high"",""regulated_domain"":false,""cloud_processing_allowed"":""policy_check_required"",""data_residency_requirement"":""US"",""vendor_allowlist_required"":true}"
"biz-0048","test","business","marketing_content","marketing","content_creation","v1","Rewrite this product description in plain language for a nontechnical audience.","T0","synthetic_prior","low","low","small","false","{""data_sensitivity"":""low"",""regulated_domain"":true,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":true}"
"biz-0049","test","business","classification_extraction","people_hr","classification_extraction","v1","Map free-form job titles into our role hierarchy, handling ambiguous cross-functional titles and explaining only low-confidence cases.","T2","synthetic_prior","moderate_to_high","medium","medium_to_large","false","{""data_sensitivity"":""moderate"",""regulated_domain"":true,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":true}"
"biz-0050","test","business","sales_customer_support","sales","customer_revenue_work","v1","Create a discovery-call question set for an operations director evaluating telehealth portal, organized by workflow, impact, decision process, and timing.","T1","synthetic_prior","low_to_moderate","low_to_medium","small_to_medium","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""EU"",""vendor_allowlist_required"":false}"
"biz-0051","test","business","people_finance_legal_ops","people_hr","corporate_operations","new","Model a restructuring that must cut cost while preserving customer data access, meeting Germany consultation duties, and avoiding hidden single points of failure.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""EU"",""vendor_allowlist_required"":false}"
"biz-0052","development","business","product_design","product","product_definition","new","Rewrite these error messages so each says what happened and what to do next, in one sentence.","T0","synthetic_prior","low","low","small","false","{""data_sensitivity"":""low"",""regulated_domain"":true,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":true}"
"biz-0053","test","business","market_competitive_research","research_insights","research_analysis","v1","Summarize five market articles into key trends, named evidence, disagreements, and questions that require more research.","T1","synthetic_prior","low_to_moderate","low_to_medium","small_to_medium","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""EU"",""vendor_allowlist_required"":false}"
"biz-0054","development","business","product_design","product","product_definition","new","Prioritize this roadmap using customer value, strategic fit, evidence strength, engineering cost, and reversibility, and explain the close calls.","T2","synthetic_prior","moderate_to_high","medium","medium_to_large","false","{""data_sensitivity"":""moderate"",""regulated_domain"":true,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":true}"
"biz-0055","test","business","software_engineering","engineering","software_delivery","new","Trace a production data-corruption bug across the reporting API and the webhook dispatcher using partial logs, retries, and a recent migration. Identify the most plausible causal chain and a safe recovery plan.","T3","synthetic_prior","high","high","large_or_complex","true","{""data_sensitivity"":""moderate"",""regulated_domain"":true,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""US"",""vendor_allowlist_required"":true}"
"biz-0056","test","business","market_competitive_research","research_insights","research_analysis","new","Assess the competitive landscape for customer-support suite in the UK and Ireland, separating sourced facts from inference and naming the evidence gaps.","T2","synthetic_prior","moderate_to_high","medium","medium_to_large","true","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""APAC"",""vendor_allowlist_required"":false}"
"biz-0057","test","business","marketing_content","marketing","content_creation","new","Build a 40-month retention plan for regional managers covering channels, owners, and review points.","T1","synthetic_prior","low_to_moderate","low_to_medium","small_to_medium","false","{""data_sensitivity"":""moderate"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""EU"",""vendor_allowlist_required"":false}"
"biz-0058","test","business","email_communication","people_hr","communication_drafting","v1","Write three subject-line options for an email inviting new employees to a 30-minute product demo.","T0","synthetic_prior","low","low","small","false","{""data_sensitivity"":""high"",""regulated_domain"":false,""cloud_processing_allowed"":""policy_check_required"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":true}"
"biz-0059","test","business","business_strategy","executive_strategy","strategy_planning","new","Turn the the usage data and the two attached spreadsheets into a decision memo covering variances, risks, and the decisions still needed.","T1","synthetic_prior","low_to_moderate","low_to_medium","small_to_medium","true","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":false}"
"biz-0060","test","business","documents_summaries","legal_compliance","document_synthesis","v1","Create an operating manual from scattered process notes, resolving terminology consistently and marking genuine policy gaps rather than filling them in.","T2","synthetic_prior","moderate_to_high","medium","medium_to_large","false","{""data_sensitivity"":""low"",""regulated_domain"":true,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""APAC"",""vendor_allowlist_required"":true}"
"biz-0061","development","business","product_design","product","product_definition","v1","Turn these customer requests into a scoped feature brief with problem statement, primary user, workflow, acceptance criteria, analytics, and non-goals.","T1","synthetic_prior","low_to_moderate","low_to_medium","small_to_medium","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":false}"
"biz-0062","development","business","sales_customer_support","customer_support","customer_revenue_work","new","Analyze a threatened strategic-account churn involving product gaps, executive turnover, and disputed service credits, and produce recovery options with their commercial, legal, and operational tradeoffs.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""moderate"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":false}"
"biz-0063","test","business","data_spreadsheets","analytics","data_analysis","new","Review this sales forecast and write commentary on material movements and the figures most likely to be misread.","T1","synthetic_prior","low_to_moderate","low_to_medium","small_to_medium","false","{""data_sensitivity"":""moderate"",""regulated_domain"":true,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""APAC"",""vendor_allowlist_required"":true}"
"biz-0064","test","business","business_strategy","executive_strategy","strategy_planning","new","Evaluate three supplied expansion markets for Brightline Energy using the attached unit economics, and recommend a sequencing with leading indicators and stop conditions.","T2","synthetic_prior","moderate_to_high","medium","medium_to_large","true","{""data_sensitivity"":""moderate"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":false}"
"biz-0065","test","business","software_engineering","engineering","software_delivery","new","Trace a production data-corruption bug across the notification worker using partial logs, retries, asynchronous consumers, and a recent schema migration. Identify the most plausible causal chain and a safe recovery plan.","T3","synthetic_prior","high","high","large_or_complex","true","{""data_sensitivity"":""high"",""regulated_domain"":false,""cloud_processing_allowed"":""policy_check_required"",""data_residency_requirement"":""US"",""vendor_allowlist_required"":true}"
"biz-0066","test","business","software_engineering","engineering","software_delivery","new","Trace a production data-corruption bug across the schedule optimizer using partial logs, retries, asynchronous consumers, and a recent schema migration. Identify the most plausible causal chain and a safe recovery plan.","T3","synthetic_prior","high","high","large_or_complex","true","{""data_sensitivity"":""high"",""regulated_domain"":false,""cloud_processing_allowed"":""policy_check_required"",""data_residency_requirement"":""US"",""vendor_allowlist_required"":true}"
"biz-0067","development","business","software_engineering","engineering","software_delivery","new","Write a function that deduplicates a list of objects by id, keeping the first occurrence, and include three tests.","T0","synthetic_prior","low","low","small","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":false}"
"biz-0068","test","business","documents_summaries","legal_compliance","document_synthesis","new","Reconcile the regulatory consultation, the diligence memo, and the board minutes into an obligation matrix with conflicts, jurisdictional caveats, and questions for counsel.","T3","synthetic_prior","high","high","large_or_complex","false","{""data_sensitivity"":""moderate"",""regulated_domain"":true,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":true}"
"biz-0069","development","business","documents_summaries","general_administration","document_synthesis","new","Fix the grammar and punctuation in this release note without changing its meaning.","T0","synthetic_prior","low","low","small","false","{""data_sensitivity"":""moderate"",""regulated_domain"":true,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":true}"
"biz-0070","development","business","market_competitive_research","research_insights","research_analysis","new","Build a comparison table from these five competitor descriptions using pricing, target customer, and deployment model.","T0","synthetic_prior","low","low","small","false","{""data_sensitivity"":""low"",""regulated_domain"":true,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":true}"
"biz-0071","test","business","classification_extraction","people_hr","classification_extraction","new","Normalize these 60 job titles into the supplied finance schema, using null when a field is missing.","T1","synthetic_prior","low_to_moderate","low_to_medium","small_to_medium","true","{""data_sensitivity"":""moderate"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""EU"",""vendor_allowlist_required"":false}"
"biz-0072","test","business","market_competitive_research","research_insights","research_analysis","new","Assess the competitive landscape for inventory planning platform in North America, segmenting competitors by business model and buyer, distinguishing sourced facts from inference, and naming the evidence gaps.","T2","synthetic_prior","moderate_to_high","medium","medium_to_large","true","{""data_sensitivity"":""moderate"",""regulated_domain"":true,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""unspecified"",""vendor_allowlist_required"":true}"
"biz-0073","test","business","presentations","executive_strategy","presentation_creation","v1","Develop three alternative presentation narratives for a board decision on entering the UK and Ireland: growth-led, risk-led, and option-value-led.","T2","synthetic_prior","moderate_to_high","medium","medium_to_large","false","{""data_sensitivity"":""low"",""regulated_domain"":true,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""US"",""vendor_allowlist_required"":true}"
"biz-0074","test","business","marketing_content","marketing","content_creation","new","Build a 15-month retention plan for the board covering channels, owners, and review points.","T1","synthetic_prior","low_to_moderate","low_to_medium","small_to_medium","false","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""US"",""vendor_allowlist_required"":false}"
"biz-0075","test","business","software_engineering","engineering","software_delivery","new","Trace a production data-corruption bug across the payments gateway using partial logs, retries, asynchronous consumers, and a recent schema migration. Identify the most plausible causal chain and a safe recovery plan.","T3","synthetic_prior","high","high","large_or_complex","true","{""data_sensitivity"":""low"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""APAC"",""vendor_allowlist_required"":false}"
"biz-0076","test","business","marketing_content","marketing","content_creation","new","Adapt the approved case study for prospective customers and the board without changing the facts.","T1","synthetic_prior","low_to_moderate","low_to_medium","small_to_medium","false","{""data_sensitivity"":""moderate"",""regulated_domain"":false,""cloud_processing_allowed"":""yes"",""data_residency_requirement"":""US"",""vendor_allowlist_required"":false}"
